# GISP2 Sodium (Na+)
# meters,thousand years before present,PPB
Depth,Age,Sodium
478.8,1.9913,3.035
479.2,1.993,5.012
479.645,1.995,3.701
480.12,1.9972,5.885
480.575,2,4.414
481.025,2.0028,5.38
481.475,2.0051,3.724
481.93,2.0074,3.219
482.385,2.0098,5.288
482.835,2.0125,7.173
483.29,2.0152,3.609
483.745,2.0175,4.115
484.195,2.0198,4.368
484.645,2.0222,3.908
485.1,2.0251,4.23
485.555,2.028,3.701
486.005,2.0303,4.575
486.455,2.0324,5.334
486.905,2.0346,4.069
487.36,2.0368,3.15
487.815,2.0389,3.609
488.265,2.0409,5.449
488.715,2.043,3.334
489.165,2.0452,4.115
489.62,2.048,5.77
490.075,2.0508,3.242
490.525,2.0532,3.425
490.975,2.0553,4.46
491.425,2.0575,3.379
491.875,2.0596,3.54
492.325,2.0617,3.517
492.775,2.0638,3.471
493.23,2.066,4.966
493.685,2.0682,3.931
494.135,2.0705,5.977
494.47,2.0721,3.885
496.435,2.0819,6.299
496.835,2.084,5.472
497.285,2.0863,3.517
497.755,2.0886,3.839
498.205,2.0909,3.609
498.635,2.0934,4.414
499.085,2.0958,5.701
499.535,2.0981,4.529
499.985,2.1004,4.897
500.42,2.1025,4.391
500.87,2.1048,3.862
501.345,2.1071,2.897
501.79,2.1092,5.196
502.23,2.1115,4.621
502.685,2.1137,4.598
503.135,2.1162,5.058
503.585,2.1189,3.242
504.035,2.1211,4.92
504.415,2.1233,5.862
505.075,2.1275,4.207
505.405,2.1294,4.161
505.835,2.1317,4.713
506.285,2.134,4.069
506.75,2.1366,5.058
507.2,2.1391,3.173
507.63,2.1414,3.816
508.075,2.1437,2.943
508.525,2.1459,7.748
508.975,2.1482,5.678
509.425,2.1506,5.357
509.875,2.1529,4.184
510.325,2.155,3.265
510.775,2.1572,3.632
511.22,2.1595,8.069
511.665,2.1619,3.15
512.115,2.1641,9.38
512.565,2.1663,4.506
513.015,2.1686,2.897
513.46,2.1708,6.069
513.905,2.1732,3.035
514.355,2.1756,6.207
514.79,2.1778,3.425
515.24,2.1803,3.954
515.7,2.1826,4.391
516.145,2.1848,4.46
516.595,2.1871,3.334
517.045,2.1894,5.862
517.49,2.1918,9.081
517.935,2.194,3.173
518.385,2.1962,2.46
518.9,2.1986,3.081
519.345,2.2005,2.345
519.725,2.2024,4.483
520.175,2.2046,4.069
520.62,2.2071,3.931
521.065,2.2095,4.069
521.515,2.2118,4.621
521.96,2.2141,4.667
522.405,2.2163,3.586
522.855,2.2184,8.046
523.3,2.2205,3.196
523.745,2.2227,5.334
524.19,2.225,3.563
524.635,2.2271,3.402
525.085,2.2294,5.012
525.53,2.2319,4.621
525.975,2.2341,6.575
526.425,2.2364,4.391
526.87,2.2388,3.127
527.315,2.2412,5.678
527.77,2.2433,4.23
528.215,2.2452,4.345
528.65,2.2473,5.862
529.095,2.2494,2.943
529.54,2.2516,3.816
529.985,2.254,4.437
530.435,2.2563,4.345
530.88,2.2586,3.494
531.325,2.2609,3.931
531.775,2.2634,6.023
532.22,2.2659,4.069
532.66,2.2683,6.115
533.105,2.2704,5.587
533.55,2.2727,3.379
533.995,2.2748,4.943
534.44,2.2771,5.38
534.885,2.2793,5.77
535.33,2.2816,4
535.775,2.2839,3.724
536.22,2.2863,5.541
536.66,2.2885,1.77
